,1,1,1,1,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,13,13,14,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,9,9,9,9,9,9,9,9
,FOXA1,FOXA2,YY1,ZBTB7A,CTCF,GABPA,MYC,RAD21,TAF1,YY1,E2F1,POLR2A,BACH1,CTCF,MXI1,MYC,REST,TAF1,YY1,STAT3,TAL1,EP300,GATA1,GATA2,MYC,RCOR1,EP300,FOXA1,FOXA2,GATA2,HDAC2,HNF4A,HNF4G,NFIC,RCOR1,RXRA,SIN3AK20,SP1,SPI1,TEAD4,USF1,EP300,FOXA1,HNF4A,HNF4G,JUND,SP1,FOXA1,FOXA2,GATA2,HDAC2,HNF4A,HNF4G,NFIC,RXRA,ARID3A,CEBPB,CEBPD,EP300,FOXA1,FOXA2,HDAC2,HNF4A,HNF4G,MYBL2,NFIC,POLR2A,RXRA,SP1,TAF1,TCF12,TEAD4,FOXA1,GATA1,MAFK,CEBPD,E2F1,HDAC2,MAZ,MYC,POLR2A,RAD21,RXRA,TAF1
Homo_sapiens,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,,✓,,✓,✓,,✓,✓,✓,✓,✓,,✓,,✓,✓,,,✓,✓
Pan_paniscus,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,,✓,✓,,,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,,✓,,✓,✓,,✓,,✓,✓,,✓,✓,✓,✓,✓,,✓,,✓,✓,,,✓,✓
Pan_troglodytes,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,,✓,,✓,✓,,✓,,✓,✓,,✓,✓,✓,✓,✓,,✓,,✓,✓,,,✓,✓
Gorilla_gorilla,,✓,✓,✓,,✓,,,✓,,✓,,,,✓,✓,,✓,✓,,✓,,✓,✓,✓,,,✓,✓,✓,,✓,,✓,,✓,,✓,✓,✓,,,✓,✓,,,✓,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,✓,,,✓,✓
Pongo_abelii,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,,,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,,✓,,✓,✓,,✓,✓,,✓,✓,,✓,,✓,✓,,,✓,✓
Chlorocebus_sabaeus,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,,,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,,✓,,✓,✓,,✓,,✓,✓,✓,,✓,,✓,✓,,,✓,✓
Macaca_fascicularis,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,,,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,,✓,,✓,✓,,✓,,✓,✓,✓,,✓,,✓,✓,,,✓,✓
Macaca_mulatta,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,,,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,,✓,,✓,✓,,✓,,✓,✓,✓,,✓,,✓,✓,,,✓,✓
Papio_anubis,✓,✓,,,✓,,✓,,✓,✓,✓,,✓,,✓,✓,,✓,✓,,✓,,✓,✓,✓,,,,,✓,,✓,✓,✓,,,,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,,✓,✓,,✓,,,,✓,,✓,,,✓,,✓,✓,✓,,✓,✓,✓,,✓,✓,,✓,✓,,,✓,
Callithrix_jacchus,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✓,,,✓,✓,,,✓,,✓,,✓,,✓,✓,✓,,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,✓,✓,,,✓,✓
Mus_musculus,,,,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,✓,,,✓,✓,✓,,✓,✓,✓,,✓,,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,,,,✓,✓,✓,✓,,✓,✓,✓,✓,,✓,✓,✓,,✓,,✓,,,,✓,✓
Rattus_norvegicus,,,,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,✓,,✓,,✓,✓,✓,,,,✓,✓,✓,,,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,,,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,,,✓,,✓,✓,,,✓,
Oryctolagus_cuniculus,✓,✓,,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,✓,✓,✓,,✓,,✓,✓,✓,,,✓,✓,✓,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓,✓,,✓,,✓,✓,✓,✓,,,✓,✓,✓,✓,,✓,✓,,,✓,
Bos_taurus,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,,✓,✓,✓,,,,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓,,✓,✓,,✓,,✓,✓,,,,✓
Canis_lupus_familiaris,✓,✓,,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,✓,✓,,,✓,✓,✓,,✓,,✓,✓,✓,,,,✓,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,,,✓,,✓,,,,,✓
Felis_catus,✓,✓,✓,✓,,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,✓,✓,✓,,✓,✓,✓,,✓,,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,,,✓,,✓,✓,,,✓,✓
Monodelphis_domestica,,,,,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,,,,,,,,,✓,✓,,,✓,,✓,,✓,,✓,,,,,,,,,,,,,,,,,,✓,✓,✓,,,,,✓,✓,,,,✓,✓,,,✓,,✓,✓,,✓,,✓,,,,✓,✓
